content,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
#socialtouristcofounder my fav drop @socialtouristLA #wethetourists 🖤 https://t.co/iACWfdis1y,Mon Dec 19 20:41:14 +0000 2022,2022-12-19 20:41:14+00:00,5575,"[Photo(previewUrl='https://pbs.twimg.com/media/FkXkXA_UUAAzQ3Y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FkXkXA_UUAAzQ3Y?format=jpg&name=large', type='photo')]",[],26,,278,229,,https://twitter.com/charlidamelio/status/1604939939405107200,1604939939405107200,1604939939405107200
did you guys watch the new videos video?!,Thu Dec 15 03:43:59 +0000 2022,2022-12-15 03:43:59+00:00,2077,,[],14,,295,89,,https://twitter.com/charlidamelio/status/1603234388984049664,1603234388984049664,1603234388984049664
charmas day 3 is out rn and i answer some of your questions!! go check it out 🎄 https://t.co/Vgdnzn69js,Mon Dec 12 17:05:44 +0000 2022,2022-12-12 17:05:44+00:00,877,,['https://www.youtube.com/watch?v=HhTOTGWdGAY'],4,,113,97,,https://twitter.com/charlidamelio/status/1602348992930598912,1602348992930598912,1602348992930598912
tell me what your fav cookie that i made was lol,Sun Dec 11 17:03:14 +0000 2022,2022-12-11 17:03:14+00:00,2313,,[],5,,259,81,,https://twitter.com/charlidamelio/status/1601985976578248704,1601985976578248704,1601985976578248704
charmas day 2 is out now!!! https://t.co/axqzG9M7y8,Sun Dec 11 17:02:21 +0000 2022,2022-12-11 17:02:21+00:00,649,,['https://www.youtube.com/watch?v=IEi_AiEToSA'],5,,59,70,,https://twitter.com/charlidamelio/status/1601985751180189697,1601985751180189697,1601985751180189697
day 2 tomorrow at 9am pst 💕 https://t.co/axqzGa3IWI 🎄,Sun Dec 11 08:03:41 +0000 2022,2022-12-11 08:03:41+00:00,841,,['https://www.youtube.com/watch?v=IEi_AiEToSA'],3,,115,77,,https://twitter.com/charlidamelio/status/1601850193766408192,1601850193766408192,1601850193766408192
charmas starts now!!! go watch and let me know your fav part yay https://t.co/lic7j6bjih,Sat Dec 10 17:04:27 +0000 2022,2022-12-10 17:04:27+00:00,785,,['https://youtu.be/OtPdQIdx0Vk'],5,,126,73,,https://twitter.com/charlidamelio/status/1601623892367642628,1601623892367642628,1601623892367642628
one hour until the new video!!! https://t.co/lic7j5Ta49,Sat Dec 10 16:07:52 +0000 2022,2022-12-10 16:07:52+00:00,869,,['https://youtu.be/OtPdQIdx0Vk'],6,,117,76,,https://twitter.com/charlidamelio/status/1601609654911451136,1601609654911451136,1601609654911451136
tomorrow!!! 9am pst i can’t wait for you guys to watch the videos we have been filming so much https://t.co/gyvm4fvDj1 https://t.co/zEMebIPybG,Sat Dec 10 04:14:35 +0000 2022,2022-12-10 04:14:35+00:00,1402,"[Photo(previewUrl='https://pbs.twimg.com/media/FjlsO7IUAAAkgCX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FjlsO7IUAAAkgCX?format=jpg&name=large', type='photo')]",['https://www.youtube.com/watch?v=OtPdQIdx0Vk'],17,,148,123,,https://twitter.com/charlidamelio/status/1601430151132127232,1601430151132127232,1601430151132127232
any questions for a charmas q&amp;a,Tue Dec 06 20:57:57 +0000 2022,2022-12-06 20:57:57+00:00,2964,,[],13,,2428,116,,https://twitter.com/charlidamelio/status/1600233105511444481,1600233105511444481,1600233105511444481
